KOR_A
1,98,98,98,98,98,98,98
2,94,94,94,94,94,94,94
3,89,88,88,89,88,89,89
4,81,80,80,81,81,-,-
5,69,68,69,69,68,-,-
6,52,52,51,52,52,-,-
7,31,31,31,31,33,-,-
8,21,21,20,21,21,-,-
KOR_B
1,98,98,98,98,97,98,98
2,94,95,95,94,94,95,95
3,90,90,90,89,88,90,90
4,79,80,80,79,76,-,-
5,68,68,67,67,64,-,-
6,51,50,51,51,50,-,-
7,31,31,32,31,36,-,-
8,20,20,21,20,22,-,-
ENG
1,92,92,92,92,92,92,91
2,84,84,84,84,84,83,83
3,72,72,73,72,71,72,72
4,57,57,58,57,57,-,-
5,41,42,43,42,42,-,-
6,30,30,32,30,28,-,-
7,23,22,22,23,22,-,-
8,17,17,17,17,18,-,-
MAT_A
1,92,92,92,92,92,92,92
2,79,78,80,79,82,79,77
3,63,63,66,63,63,62,61
4,44,45,47,44,44,-,-
5,29,31,31,29,28,-,-
6,19,19,21,19,20,-,-
7,14,15,14,14,13,-,-
8,10,10,9,10,9,-,-
MAT_B
1,96,96,96,96,96,96,96
2,90,92,90,90,89,90,91
3,83,82,82,83,81,82,83
4,68,69,68,68,68,-,-
5,50,51,51,50,50,-,-
6,33,31,34,32,30,-,-
7,19,19,21,18,16,-,-
8,13,13,12,13,12,-,-
LIF
1,47,47,47,47,48,47,47
2,44,44,44,44,45,44,44
3,37,38,39,38,38,40,37
4,32,32,33,32,29,-,-
5,26,25,26,25,21,-,-
6,17,17,18,17,14,-,-
7,12,12,12,11,10,-,-
8,8,8,8,8,7,-,-
REL
1,47,47,47,47,46,47,47
2,43,43,43,43,42,42,43
3,36,36,37,36,34,35,36
4,28,27,28,27,27,-,-
5,19,19,19,19,20,-,-
6,13,12,12,13,15,-,-
7,9,9,9,9,9,-,-
8,6,6,6,6,7,-,-
HIS_K
1,47,47,48,47,47,48,47
2,44,44,45,44,43,45,44
3,38,37,40,38,36,39,38
4,28,28,30,28,26,-,-
5,18,18,19,18,15,-,-
6,12,13,14,13,11,-,-
7,9,9,10,9,8,-,-
8,5,6,6,6,5,-,-
MAP_K
1,46,46,47,46,45,47,46
2,42,42,43,42,42,43,42
3,37,37,37,37,37,39,36
4,30,31,32,31,31,-,-
5,23,23,25,24,24,-,-
6,18,18,19,18,17,-,-
7,13,13,14,13,12,-,-
8,8,8,9,8,7,-,-
MAP_W
1,47,48,48,47,46,48,46
2,43,44,45,44,44,44,43
3,39,39,38,40,40,39,39
4,33,31,31,33,32,-,-
5,25,22,23,24,22,-,-
6,19,15,16,17,14,-,-
7,13,10,12,12,10,-,-
8,8,7,8,8,7,-,-
HIS_A
1,47,48,48,47,46,48,47
2,44,45,44,44,43,45,44
3,37,40,36,37,34,41,37
4,29,30,28,29,23,-,-
5,19,21,20,20,16,-,-
6,15,15,15,14,10,-,-
7,10,10,10,9,8,-,-
8,6,7,7,6,5,-,-
HIS_W
1,47,47,48,47,46,46,47
2,44,45,45,44,44,41,45
3,37,38,38,37,36,35,37
4,26,29,27,26,22,-,-
5,18,20,19,18,13,-,-
6,13,14,14,13,11,-,-
7,9,10,10,9,7,-,-
8,6,7,6,6,5,-,-
LAW
1,46,46,46,46,47,47,46
2,43,42,42,43,44,43,44
3,37,35,36,37,40,39,37
4,30,27,30,30,35,-,-
5,20,19,22,22,29,-,-
6,14,14,15,15,21,-,-
7,10,10,11,10,14,-,-
8,7,7,7,7,9,-,-
ECO
1,45,45,45,45,45,45,46
2,39,40,40,39,41,40,40
3,30,31,31,30,33,34,33
4,20,21,22,21,27,-,-
5,15,15,15,15,19,-,-
6,12,11,12,11,13,-,-
7,8,8,9,8,9,-,-
8,5,5,6,5,7,-,-
CUL
1,46,47,47,47,47,47,46
2,42,43,44,43,42,42,42
3,38,39,39,38,37,37,38
4,32,33,32,33,32,-,-
5,23,24,24,24,23,-,-
6,17,18,17,17,16,-,-
7,11,11,11,11,12,-,-
8,8,8,7,8,8,-,-
PHY_I
1,46,44,45,45,45,45,46
2,42,38,40,41,40,40,42
3,37,33,34,36,34,35,38
4,30,26,27,28,25,-,-
5,21,19,19,20,16,-,-
6,15,13,13,14,11,-,-
7,12,10,9,11,8,-,-
8,8,7,6,7,5,-,-
PHY_II
1,45,45,46,45,46,45,44
2,40,39,41,40,42,39,39
3,32,33,33,33,33,32,32
4,23,24,24,23,20,-,-
5,16,17,17,16,15,-,-
6,12,12,13,12,11,-,-
7,9,9,10,9,8,-,-
8,6,6,7,6,6,-,-
CHM_I
